INCP Education Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Port Macquarie - East,11,3,5,8,15,17,15,34,48,45,79,105,3,4,392,1624.489796,1624,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie - South,5,4,3,11,16,32,33,47,46,68,93,151,5,5,519,1628.853565,1628,"$1,500-$1,749 ($78,000-$90,999)"
Gloucester,0,0,0,5,8,7,6,4,9,11,8,27,0,0,85,1443.529412,1443,"$1,250-$1,499 ($65,000-$77,999)"
Old Bar - Manning Point - Red Head,0,4,8,10,12,13,25,36,47,43,65,94,0,0,357,1570.798319,1570,"$1,500-$1,749 ($78,000-$90,999)"
Taree,4,7,7,4,3,15,12,30,36,35,62,63,3,5,286,1643.444056,1643,"$1,500-$1,749 ($78,000-$90,999)"
Taree Surrounds,3,3,0,3,14,8,12,19,28,31,35,54,0,0,210,1551.904762,1551,"$1,500-$1,749 ($78,000-$90,999)"
Wingham,3,0,3,3,4,3,3,3,10,4,15,13,0,0,64,1489.0625,1489,"$1,250-$1,499 ($65,000-$77,999)"
Albury - East,7,8,12,16,11,30,29,71,80,91,96,148,3,3,605,1559.338843,1559,"$1,500-$1,749 ($78,000-$90,999)"
Albury - North,0,0,0,3,4,12,11,24,35,34,43,59,0,3,228,1672.149123,1672,"$1,500-$1,749 ($78,000-$90,999)"
Albury - South,0,0,3,3,7,13,34,32,43,34,43,75,5,0,292,1579.452055,1579,"$1,500-$1,749 ($78,000-$90,999)"
Albury Surrounds,4,9,3,3,7,14,15,22,36,46,51,67,3,8,288,1639.84375,1639,"$1,500-$1,749 ($78,000-$90,999)"
Lavington,0,6,4,8,8,5,16,26,29,33,43,41,0,0,219,1534.703196,1534,"$1,500-$1,749 ($78,000-$90,999)"
Hay,0,0,0,0,0,5,0,4,7,8,11,25,0,0,60,1752.083333,1752,"$1,750-$1,999 ($91,000-$103,999)"
Wentworth - Buronga,0,0,3,0,3,8,4,18,24,13,18,36,3,0,130,1606.153846,1606,"$1,500-$1,749 ($78,000-$90,999)"
Wentworth-Balranald Region,0,0,0,0,4,0,5,9,11,5,5,14,0,0,53,1489.150943,1489,"$1,250-$1,499 ($65,000-$77,999)"
Corowa,0,0,0,0,0,5,10,8,8,11,17,27,0,0,86,1670.05814,1670,"$1,500-$1,749 ($78,000-$90,999)"
Corowa Surrounds,0,4,0,3,0,5,6,9,12,14,15,21,0,0,89,1545.224719,1545,"$1,500-$1,749 ($78,000-$90,999)"
Deniliquin,0,0,0,0,5,7,9,11,19,33,29,27,0,0,140,1652.142857,1652,"$1,500-$1,749 ($78,000-$90,999)"
Deniliquin Surrounds,0,0,5,0,0,6,4,16,20,14,13,15,0,0,93,1490.053763,1490,"$1,250-$1,499 ($65,000-$77,999)"
Moama,0,0,4,4,6,12,8,11,31,26,20,39,0,3,164,1545.27439,1545,"$1,500-$1,749 ($78,000-$90,999)"
Tocumwal - Finley - Jerilderie,0,0,0,4,12,7,8,18,9,29,23,38,0,0,148,1550.506757,1550,"$1,500-$1,749 ($78,000-$90,999)"
Armidale,11,21,29,15,23,34,40,74,87,99,133,329,38,31,964,1702.748963,1702,"$1,500-$1,749 ($78,000-$90,999)"
Armidale Surrounds - North,0,0,0,0,3,0,3,6,8,7,11,21,3,0,62,1777.016129,1777,"$1,750-$1,999 ($91,000-$103,999)"
Armidale Surrounds - South,0,0,4,7,9,3,3,11,21,26,28,48,0,8,168,1702.97619,1702,"$1,500-$1,749 ($78,000-$90,999)"
Walcha,0,0,4,0,0,0,0,8,6,4,12,7,0,0,41,1665.243902,1665,"$1,500-$1,749 ($78,000-$90,999)"
Glen Innes,0,0,0,0,5,10,7,12,18,14,23,32,4,0,125,1663.4,1663,"$1,500-$1,749 ($78,000-$90,999)"
Inverell,0,0,0,4,8,9,8,33,33,31,59,76,5,3,269,1746.282528,1746,"$1,500-$1,749 ($78,000-$90,999)"
Inverell Surrounds - East,0,0,0,0,0,3,3,9,7,9,16,14,0,0,61,1729.508197,1729,"$1,500-$1,749 ($78,000-$90,999)"
Inverell Surrounds - West,0,0,0,0,3,7,13,8,18,3,16,32,0,0,100,1571.25,1571,"$1,500-$1,749 ($78,000-$90,999)"
Tenterfield,0,3,0,0,4,3,12,6,15,16,22,28,0,0,109,1622.247706,1622,"$1,500-$1,749 ($78,000-$90,999)"
Moree,0,0,5,0,0,0,8,18,25,25,26,49,8,6,170,1812.205882,1812,"$1,750-$1,999 ($91,000-$103,999)"
Moree Surrounds,0,0,0,0,3,4,7,7,9,13,13,16,0,0,72,1594.444444,1594,"$1,500-$1,749 ($78,000-$90,999)"
Narrabri,0,0,0,4,0,4,9,22,19,27,21,39,0,4,149,1658.892617,1658,"$1,500-$1,749 ($78,000-$90,999)"
Narrabri Surrounds,0,0,0,3,4,9,3,12,14,10,11,18,0,0,84,1465.77381,1465,"$1,250-$1,499 ($65,000-$77,999)"
Gunnedah,0,0,4,3,6,9,14,34,31,42,30,48,0,4,225,1570.888889,1570,"$1,500-$1,749 ($78,000-$90,999)"
Gunnedah Surrounds,0,4,0,0,3,7,3,3,15,17,4,17,0,3,76,1505.263158,1505,"$1,500-$1,749 ($78,000-$90,999)"
Quirindi,0,0,5,0,4,7,6,17,17,14,21,32,0,0,123,1563.211382,1563,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth - East,4,6,7,5,11,22,31,57,63,60,94,141,11,5,517,1658.413926,1658,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth - North,7,6,9,7,12,16,31,42,58,65,67,104,3,0,427,1544.379391,1544,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth - West,0,0,0,0,0,0,4,7,5,5,10,13,0,0,44,1723.863636,1723,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth Surrounds,0,5,8,11,6,15,20,48,43,64,68,123,6,4,421,1644.774347,1644,"$1,500-$1,749 ($78,000-$90,999)"
Belmont - Bennetts Green,5,3,3,4,12,20,27,49,45,60,63,91,6,0,388,1576.610825,1576,"$1,500-$1,749 ($78,000-$90,999)"
Belmont South - Blacksmiths,3,0,0,3,4,5,10,13,13,18,21,22,3,0,115,1580.434783,1580,"$1,500-$1,749 ($78,000-$90,999)"
Charlestown - Dudley,7,12,10,14,23,39,57,81,95,97,114,163,6,7,725,1544.586207,1544,"$1,500-$1,749 ($78,000-$90,999)"
Glendale - Cardiff - Hillsborough,11,6,8,10,21,33,42,61,81,81,101,144,9,6,614,1575.977199,1575,"$1,500-$1,749 ($78,000-$90,999)"
Mount Hutton - Windale,0,0,0,0,6,3,8,11,14,17,22,39,3,0,123,1706.910569,1706,"$1,500-$1,749 ($78,000-$90,999)"
Redhead,0,0,5,0,4,15,9,8,9,9,12,21,3,3,98,1516.836735,1516,"$1,500-$1,749 ($78,000-$90,999)"
Swansea - Caves Beach,9,0,6,4,9,12,18,35,31,46,59,76,3,5,313,1625.079872,1625,"$1,500-$1,749 ($78,000-$90,999)"
Valentine - Eleebana,9,3,16,9,11,18,38,51,42,40,55,121,6,11,430,1551.337209,1551,"$1,500-$1,749 ($78,000-$90,999)"
Warners Bay - Boolaroo,0,4,0,12,15,20,28,40,52,51,65,100,3,3,393,1588.422392,1588,"$1,500-$1,749 ($78,000-$90,999)"
Bolton Point - Teralba,3,0,0,0,3,10,12,15,18,26,31,52,4,3,177,1708.333333,1708,"$1,500-$1,749 ($78,000-$90,999)"
Bonnells Bay - Silverwater,8,10,3,5,11,9,15,10,22,11,25,39,0,0,168,1354.166667,1354,"$1,250-$1,499 ($65,000-$77,999)"
Edgeworth - Cameron Park,0,4,4,4,9,10,21,38,32,40,59,67,4,0,292,1620.890411,1620,"$1,500-$1,749 ($78,000-$90,999)"
Morisset - Cooranbong,3,8,9,9,13,13,30,24,40,33,64,91,7,3,347,1592.579251,1592,"$1,500-$1,749 ($78,000-$90,999)"
Toronto - Awaba,0,0,0,5,10,10,19,22,31,34,37,48,10,5,231,1677.380952,1677,"$1,500-$1,749 ($78,000-$90,999)"
Wangi Wangi - Rathmines,4,0,3,3,4,4,12,29,19,23,38,44,0,4,187,1638.101604,1638,"$1,500-$1,749 ($78,000-$90,999)"
West Wallsend - Barnsley - Killingworth,0,0,4,0,3,9,11,19,13,10,14,27,0,0,110,1460.681818,1460,"$1,250-$1,499 ($65,000-$77,999)"
Adamstown - Kotara,9,10,9,10,25,30,25,45,60,69,83,149,14,12,550,1616.045455,1616,"$1,500-$1,749 ($78,000-$90,999)"
Beresfield - Hexham,0,4,6,0,4,0,3,7,7,7,9,9,0,0,56,1361.607143,1361,"$1,250-$1,499 ($65,000-$77,999)"
Hamilton - Broadmeadow,4,4,4,10,5,22,19,49,55,48,59,100,13,10,402,1651.803483,1651,"$1,500-$1,749 ($78,000-$90,999)"
Lambton - New Lambton,4,6,12,15,21,35,39,58,67,76,97,158,10,16,614,1617.711726,1617,"$1,500-$1,749 ($78,000-$90,999)"
Maryland - Fletcher - Minmi,15,11,3,5,8,14,21,33,43,52,48,92,3,4,352,1527.130682,1527,"$1,500-$1,749 ($78,000-$90,999)"
Mayfield - Warabrook,6,5,12,12,12,14,21,39,51,53,74,106,7,8,420,1623.214286,1623,"$1,500-$1,749 ($78,000-$90,999)"
Merewether - The Junction,4,14,5,11,14,20,33,69,67,65,66,111,17,20,516,1620.445736,1620,"$1,500-$1,749 ($78,000-$90,999)"
Newcastle - Cooks Hill,0,12,14,7,9,16,29,40,56,54,66,116,12,23,454,1685.848018,1685,"$1,500-$1,749 ($78,000-$90,999)"
Newcastle Port - Kooragang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortland - Jesmond,10,12,7,5,18,15,14,33,43,30,19,20,0,3,229,1233.515284,1233,"$1,000-$1,249 ($52,000-$64,999)"
Stockton - Fullerton Cove,4,0,0,3,6,8,15,22,16,32,25,45,0,0,176,1534.232955,1534,"$1,500-$1,749 ($78,000-$90,999)"
Wallsend - Elermore Vale,6,12,13,7,21,23,35,48,58,56,72,107,12,4,474,1538.976793,1538,"$1,500-$1,749 ($78,000-$90,999)"
Waratah - North Lambton,3,7,6,5,14,27,25,41,54,43,47,86,0,0,358,1467.248603,1467,"$1,250-$1,499 ($65,000-$77,999)"
Wickham - Carrington - Tighes Hill,3,0,5,3,7,17,23,37,40,32,54,78,10,3,312,1645.032051,1645,"$1,500-$1,749 ($78,000-$90,999)"
Ballina,4,0,4,4,12,14,26,37,49,56,70,86,6,7,375,1664.533333,1664,"$1,500-$1,749 ($78,000-$90,999)"
Ballina Surrounds,4,4,11,6,17,26,39,48,40,61,67,135,7,4,469,1571.375267,1571,"$1,500-$1,749 ($78,000-$90,999)"
Bangalow,0,0,3,4,7,9,12,22,23,22,12,30,6,0,150,1480.5,1480,"$1,250-$1,499 ($65,000-$77,999)"
Brunswick Heads - Ocean Shores,3,3,11,11,8,12,22,30,28,33,30,34,10,3,238,1472.37395,1472,"$1,250-$1,499 ($65,000-$77,999)"
Byron Bay,4,0,0,8,20,16,14,30,25,25,26,32,5,4,209,1452.631579,1452,"$1,250-$1,499 ($65,000-$77,999)"
Evans Head,0,3,5,0,4,9,12,11,28,18,26,28,0,0,144,1525.520833,1525,"$1,500-$1,749 ($78,000-$90,999)"
Lennox Head - Skennars Head,0,3,3,6,8,18,30,23,39,53,71,86,4,4,348,1667.95977,1667,"$1,500-$1,749 ($78,000-$90,999)"
Mullumbimby,0,0,4,8,12,16,22,18,20,17,30,33,3,7,190,1525.263158,1525,"$1,500-$1,749 ($78,000-$90,999)"
Casino,0,0,0,0,4,5,11,15,20,26,20,41,0,0,142,1614.964789,1614,"$1,500-$1,749 ($78,000-$90,999)"
Casino Surrounds,0,0,0,0,0,7,6,12,11,7,8,29,0,0,80,1560.625,1560,"$1,500-$1,749 ($78,000-$90,999)"
Goonellabah,0,3,3,5,7,12,25,42,36,52,42,81,5,8,321,1624.844237,1624,"$1,500-$1,749 ($78,000-$90,999)"
Kyogle,0,0,0,3,8,8,13,14,16,16,13,25,3,0,119,1481.722689,1481,"$1,250-$1,499 ($65,000-$77,999)"
Lismore,0,10,9,6,11,13,28,30,40,54,57,85,0,0,343,1537.682216,1537,"$1,500-$1,749 ($78,000-$90,999)"
Lismore Surrounds,4,9,6,8,23,27,38,36,54,56,54,98,0,3,416,1466.40625,1466,"$1,250-$1,499 ($65,000-$77,999)"
Kingscliff - Fingal Head,7,9,4,7,8,18,26,28,66,57,64,113,3,3,413,1586.319613,1586,"$1,500-$1,749 ($78,000-$90,999)"
Murwillumbah,6,0,0,0,6,5,6,28,23,30,30,34,0,0,168,1568.75,1568,"$1,500-$1,749 ($78,000-$90,999)"
Murwillumbah Surrounds,0,0,0,7,10,18,17,13,22,27,34,37,3,3,191,1573.95288,1573,"$1,500-$1,749 ($78,000-$90,999)"
Pottsville,0,0,4,5,11,25,36,46,38,61,74,84,0,9,393,1622.455471,1622,"$1,500-$1,749 ($78,000-$90,999)"
Tweed Heads,4,4,7,0,18,23,22,33,48,47,71,64,4,0,345,1566.594203,1566,"$1,500-$1,749 ($78,000-$90,999)"
Banora Point,0,3,4,12,12,15,16,28,35,49,43,70,8,0,295,1571.694915,1571,"$1,500-$1,749 ($78,000-$90,999)"
Terranora - North Tumbulgum,0,0,0,0,0,9,11,9,3,23,24,31,0,0,110,1692.5,1692,"$1,500-$1,749 ($78,000-$90,999)"
Tweed Heads South,0,0,0,0,4,7,5,3,15,11,18,23,0,0,86,1649.709302,1649,"$1,500-$1,749 ($78,000-$90,999)"
Griffith (NSW),8,0,6,0,8,14,20,47,55,49,74,103,7,3,394,1662.309645,1662,"$1,500-$1,749 ($78,000-$90,999)"
Griffith Surrounds,0,4,0,3,4,11,6,19,24,41,36,52,6,0,206,1679.247573,1679,"$1,500-$1,749 ($78,000-$90,999)"
Leeton,0,0,5,6,11,13,8,13,36,40,47,76,9,0,264,1688.541667,1688,"$1,500-$1,749 ($78,000-$90,999)"
Narrandera,0,0,0,0,4,4,4,10,18,16,19,29,0,0,104,1660.336538,1660,"$1,500-$1,749 ($78,000-$90,999)"
Tumbarumba,0,0,0,0,0,0,0,3,10,13,12,11,0,3,52,1911.057692,1911,"$1,750-$1,999 ($91,000-$103,999)"
Tumut,0,0,0,0,0,6,8,13,20,17,24,35,3,0,126,1719.642857,1719,"$1,500-$1,749 ($78,000-$90,999)"
Tumut Surrounds,0,0,0,0,3,0,7,7,7,9,12,26,0,0,71,1674.647887,1674,"$1,500-$1,749 ($78,000-$90,999)"
Cootamundra,6,0,0,0,8,6,16,17,15,21,24,30,0,0,143,1495.979021,1495,"$1,250-$1,499 ($65,000-$77,999)"
Gundagai,0,0,0,0,6,0,8,13,9,12,8,13,0,0,69,1471.376812,1471,"$1,250-$1,499 ($65,000-$77,999)"
Junee,0,0,0,0,0,9,5,13,5,4,15,25,3,0,79,1685.443038,1685,"$1,500-$1,749 ($78,000-$90,999)"
Temora,0,5,0,4,8,12,7,11,19,26,27,28,3,0,150,1553.5,1553,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - East,5,5,4,6,11,26,23,36,50,79,81,148,10,9,493,1689.858012,1689,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - North,5,3,0,0,7,0,5,14,24,22,34,55,5,0,174,1715.229885,1715,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - South,0,8,0,8,8,21,31,55,49,71,101,191,15,8,566,1740.503534,1740,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - West,7,6,5,4,9,7,22,24,28,43,53,54,3,0,265,1563.584906,1563,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga Surrounds,3,4,9,4,9,11,27,31,49,62,68,107,7,3,394,1650.761421,1650,"$1,500-$1,749 ($78,000-$90,999)"
Berry - Kangaroo Valley,5,6,9,7,13,12,21,12,19,26,36,48,8,5,227,1535.132159,1535,"$1,500-$1,749 ($78,000-$90,999)"
Callala Bay - Currarong,3,0,0,5,0,3,4,8,9,11,11,14,0,0,68,1488.970588,1488,"$1,250-$1,499 ($65,000-$77,999)"
Culburra Beach,0,0,0,0,8,6,8,8,10,11,9,22,0,4,86,1564.244186,1564,"$1,500-$1,749 ($78,000-$90,999)"
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huskisson - Vincentia,0,0,3,6,13,12,6,21,22,21,21,35,0,3,163,1484.355828,1484,"$1,250-$1,499 ($65,000-$77,999)"
North Nowra - Bomaderry,0,3,6,12,13,15,26,21,33,43,62,59,4,0,297,1573.821549,1573,"$1,500-$1,749 ($78,000-$90,999)"
Nowra,4,4,3,9,11,13,17,27,27,37,20,64,0,3,239,1445.502092,1445,"$1,250-$1,499 ($65,000-$77,999)"
St Georges Basin - Erowal Bay,5,0,7,6,5,8,14,30,33,22,44,39,0,0,213,1524.882629,1524,"$1,500-$1,749 ($78,000-$90,999)"
Sussex Inlet - Berrara,0,0,0,4,0,4,4,3,9,0,7,15,0,0,46,1514.673913,1514,"$1,500-$1,749 ($78,000-$90,999)"
Tomerong - Wandandian - Woollamia,0,0,0,0,8,6,4,10,16,11,12,19,0,0,86,1503.488372,1503,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla,0,7,11,6,20,20,21,34,44,32,73,69,7,4,348,1587.356322,1587,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla Surrounds,6,0,0,7,0,6,12,9,16,15,16,25,0,0,112,1447.544643,1447,"$1,250-$1,499 ($65,000-$77,999)"
Bowral,0,4,8,10,12,21,13,27,28,34,32,103,11,0,303,1567.739274,1567,"$1,500-$1,749 ($78,000-$90,999)"
Hill Top - Colo Vale,0,0,0,6,4,8,6,17,13,21,27,28,4,0,134,1644.216418,1644,"$1,500-$1,749 ($78,000-$90,999)"
Mittagong,6,0,9,3,13,15,12,28,24,37,38,81,7,0,273,1569.047619,1569,"$1,500-$1,749 ($78,000-$90,999)"
Moss Vale - Berrima,3,8,9,4,7,11,18,11,33,29,35,72,0,3,243,1535.185185,1535,"$1,500-$1,749 ($78,000-$90,999)"
Robertson - Fitzroy Falls,0,0,0,3,6,3,6,13,9,16,14,34,0,4,108,1649.305556,1649,"$1,500-$1,749 ($78,000-$90,999)"
Southern Highlands,0,4,5,0,0,8,13,12,14,15,24,30,0,8,133,1665.601504,1665,"$1,500-$1,749 ($78,000-$90,999)"
