"INCP Legal, Social and Welfare Professionals Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Moree,0,0,0,4,3,3,8,9,15,19,10,6,6,3,86,1636.918605,1636,"$1,500-$1,749 ($78,000-$90,999)"
Moree Surrounds,0,0,0,0,0,0,0,4,0,0,0,3,0,0,7,1446.428571,1446,"$1,250-$1,499 ($65,000-$77,999)"
Narrabri,0,0,0,0,6,0,11,9,4,7,4,8,0,0,49,1333.673469,1333,"$1,250-$1,499 ($65,000-$77,999)"
Narrabri Surrounds,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,1387.5,1387,"$1,250-$1,499 ($65,000-$77,999)"
Gunnedah,0,0,5,0,0,6,9,13,14,5,3,8,3,0,66,1340.151515,1340,"$1,250-$1,499 ($65,000-$77,999)"
Gunnedah Surrounds,0,0,0,0,0,0,0,7,0,0,0,5,0,0,12,1437.5,1437,"$1,250-$1,499 ($65,000-$77,999)"
Quirindi,0,0,4,0,3,0,3,3,5,4,4,0,0,0,26,1252.884615,1252,"$1,250-$1,499 ($65,000-$77,999)"
Tamworth - East,0,0,0,0,10,8,11,31,29,35,26,21,0,4,175,1551.142857,1551,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth - North,0,0,0,3,0,4,9,35,39,32,23,34,3,6,188,1645.478723,1645,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth - West,0,0,0,0,0,0,3,9,4,7,0,0,0,0,23,1291.304348,1291,"$1,250-$1,499 ($65,000-$77,999)"
Tamworth Surrounds,0,3,0,0,8,8,4,23,21,27,17,23,5,4,143,1602.622378,1602,"$1,500-$1,749 ($78,000-$90,999)"
Belmont - Bennetts Green,0,0,0,4,0,4,13,16,16,14,15,28,0,9,119,1686.134454,1686,"$1,500-$1,749 ($78,000-$90,999)"
Belmont South - Blacksmiths,0,0,0,0,0,0,6,5,3,9,4,5,0,3,35,1704.285714,1704,"$1,500-$1,749 ($78,000-$90,999)"
Charlestown - Dudley,0,0,3,6,16,15,15,34,43,42,22,60,3,20,279,1613.620072,1613,"$1,500-$1,749 ($78,000-$90,999)"
Glendale - Cardiff - Hillsborough,3,0,5,5,10,12,19,35,42,34,30,54,5,15,269,1610.223048,1610,"$1,500-$1,749 ($78,000-$90,999)"
Mount Hutton - Windale,6,0,0,0,0,8,0,8,9,14,5,8,4,0,62,1465.725806,1465,"$1,250-$1,499 ($65,000-$77,999)"
Redhead,0,0,0,0,4,3,0,3,9,3,8,6,5,7,48,2022.916667,2022,"$2,000-$2,999 ($104,000-$155,999)"
Swansea - Caves Beach,0,0,0,0,3,10,10,10,11,5,11,10,5,5,80,1655.9375,1655,"$1,500-$1,749 ($78,000-$90,999)"
Valentine - Eleebana,0,3,6,0,9,3,14,18,21,13,18,33,3,16,157,1691.719745,1691,"$1,500-$1,749 ($78,000-$90,999)"
Warners Bay - Boolaroo,0,0,5,0,4,6,0,14,13,21,15,27,8,5,118,1760.805085,1760,"$1,750-$1,999 ($91,000-$103,999)"
Bolton Point - Teralba,0,0,0,0,0,5,3,7,6,18,5,13,0,3,60,1651.25,1651,"$1,500-$1,749 ($78,000-$90,999)"
