INCP Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Muswellbrook Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scone Surrounds,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Dapto - Avondale,0,0,0,0,0,0,0,5,0,5,3,8,0,0,21,1726.190476,1726,"$1,500-$1,749 ($78,000-$90,999)"
Horsley - Kembla Grange,0,0,0,0,0,0,0,5,0,3,0,9,0,0,17,1610.294118,1610,"$1,500-$1,749 ($78,000-$90,999)"
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,0,0,0,0,0,7,0,3,6,0,7,3,0,4,30,1794.166667,1794,"$1,750-$1,999 ($91,000-$103,999)"
Berkeley - Lake Heights - Cringila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Kembla - Warrawong,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2500,2500,"$2,000-$2,999 ($104,000-$155,999)"
Windang - Primbee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,0,0,0,0,0,0,0,0,3,0,3,3,0,0,9,1916.666667,1916,"$1,750-$1,999 ($91,000-$103,999)"
