"INCP Design, Engineering, Science and Transport Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
North Nowra - Bomaderry,0,4,4,3,10,7,5,20,19,26,26,51,14,17,206,1822.694175,1822,"$1,750-$1,999 ($91,000-$103,999)"
Nowra,0,3,0,0,3,7,3,17,25,32,30,46,5,6,177,1775,1775,"$1,750-$1,999 ($91,000-$103,999)"
St Georges Basin - Erowal Bay,0,4,0,4,5,3,5,6,10,21,17,20,0,3,98,1605.867347,1605,"$1,500-$1,749 ($78,000-$90,999)"
Sussex Inlet - Berrara,0,0,0,0,5,4,0,3,0,7,6,6,0,0,31,1508.870968,1508,"$1,500-$1,749 ($78,000-$90,999)"
Tomerong - Wandandian - Woollamia,0,0,0,0,4,0,3,3,4,3,6,8,0,4,35,1792.857143,1792,"$1,750-$1,999 ($91,000-$103,999)"
Ulladulla,0,5,7,0,3,6,14,13,17,18,21,23,0,11,138,1620.471014,1620,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla Surrounds,3,0,4,0,5,5,5,6,5,4,9,12,5,5,68,1639.705882,1639,"$1,500-$1,749 ($78,000-$90,999)"
Bowral,3,0,6,4,0,10,11,14,20,21,20,38,10,52,209,2078.4689,2078,"$2,000-$2,999 ($104,000-$155,999)"
Hill Top - Colo Vale,0,0,0,5,0,3,0,0,6,9,0,13,3,4,43,1754.069767,1754,"$1,750-$1,999 ($91,000-$103,999)"
Mittagong,5,3,6,0,4,11,3,7,19,15,13,36,11,17,150,1798.333333,1798,"$1,750-$1,999 ($91,000-$103,999)"
Moss Vale - Berrima,0,0,0,0,0,8,6,10,12,15,15,22,7,8,103,1872.087379,1872,"$1,750-$1,999 ($91,000-$103,999)"
Robertson - Fitzroy Falls,0,0,0,0,0,3,0,5,10,7,8,12,3,7,55,1994.090909,1994,"$1,750-$1,999 ($91,000-$103,999)"
Southern Highlands,0,3,4,0,3,5,0,14,11,10,12,37,5,20,124,1936.895161,1936,"$1,750-$1,999 ($91,000-$103,999)"
