"INCP Design, Engineering, Science and Transport Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Coramba - Nana Glen - Bucca,0,0,0,0,7,4,0,0,4,6,3,15,0,0,39,1482.051282,1482,"$1,250-$1,499 ($65,000-$77,999)"
Dorrigo,0,0,0,0,4,0,0,4,0,9,3,11,0,0,31,1598.387097,1598,"$1,500-$1,749 ($78,000-$90,999)"
Korora - Emerald Beach,0,3,0,7,5,5,8,17,9,17,15,46,18,15,165,1887.272727,1887,"$1,750-$1,999 ($91,000-$103,999)"
Sawtell - Boambee,4,0,0,0,3,8,9,13,20,27,25,39,0,8,156,1702.24359,1702,"$1,500-$1,749 ($78,000-$90,999)"
Urunga,0,0,0,0,0,0,0,4,6,4,0,7,0,0,21,1541.666667,1541,"$1,500-$1,749 ($78,000-$90,999)"
Woolgoolga - Arrawarra,0,0,0,3,6,4,6,19,13,22,12,29,3,3,120,1606.041667,1606,"$1,500-$1,749 ($78,000-$90,999)"
Bourke - Brewarrina,0,0,0,0,0,0,0,0,6,0,0,3,0,3,12,2031.25,2031,"$2,000-$2,999 ($104,000-$155,999)"
Cobar,0,0,0,0,0,0,0,0,3,9,10,22,11,7,62,2342.741935,2342,"$2,000-$2,999 ($104,000-$155,999)"
Coonamble,0,0,0,0,0,3,3,0,0,3,3,4,0,0,16,1546.875,1546,"$1,500-$1,749 ($78,000-$90,999)"
Nyngan - Warren,0,0,0,0,0,0,0,0,0,8,9,18,4,4,43,2238.372093,2238,"$2,000-$2,999 ($104,000-$155,999)"
Walgett - Lightning Ridge,0,0,0,0,0,0,0,3,4,0,3,0,0,0,10,1637.5,1637,"$1,500-$1,749 ($78,000-$90,999)"
Broken Hill,0,0,0,0,0,0,0,12,15,11,14,39,3,6,100,1908.75,1908,"$1,750-$1,999 ($91,000-$103,999)"
Far West,0,0,0,0,3,4,3,0,0,4,6,10,0,0,30,1585.833333,1585,"$1,500-$1,749 ($78,000-$90,999)"
Coonabarabran,0,0,0,0,4,6,0,8,5,4,5,5,0,3,40,1535,1535,"$1,500-$1,749 ($78,000-$90,999)"
Dubbo - East,0,0,0,0,5,3,0,15,13,8,11,33,3,4,95,1746.578947,1746,"$1,500-$1,749 ($78,000-$90,999)"
Dubbo - South,0,0,0,0,3,9,10,22,22,20,33,68,7,6,200,1792.5,1792,"$1,750-$1,999 ($91,000-$103,999)"
Dubbo - West,0,0,0,0,0,4,0,7,4,5,11,21,6,0,58,1909.913793,1909,"$1,750-$1,999 ($91,000-$103,999)"
Dubbo Surrounds,0,0,0,0,0,0,0,0,12,6,10,9,0,6,43,2072.674419,2072,"$2,000-$2,999 ($104,000-$155,999)"
Gilgandra,0,0,0,0,0,5,3,0,0,0,3,3,0,0,14,1389.285714,1389,"$1,250-$1,499 ($65,000-$77,999)"
Narromine,0,0,0,0,0,0,0,6,11,6,0,12,3,0,38,1680.921053,1680,"$1,500-$1,749 ($78,000-$90,999)"
Wellington,0,0,0,0,0,0,3,7,3,8,0,7,0,0,28,1458.035714,1458,"$1,250-$1,499 ($65,000-$77,999)"
Branxton - Greta - Pokolbin,0,0,0,0,6,3,10,12,19,19,15,41,20,22,167,2044.91018,2044,"$2,000-$2,999 ($104,000-$155,999)"
Cessnock,0,0,0,3,3,0,8,16,6,11,13,19,3,13,95,1871.315789,1871,"$1,750-$1,999 ($91,000-$103,999)"
Cessnock Surrounds,0,0,0,0,5,7,8,13,17,8,5,10,6,15,94,1802.12766,1802,"$1,750-$1,999 ($91,000-$103,999)"
Dungog,0,0,0,0,5,8,9,4,13,12,8,23,6,18,106,1927.122642,1927,"$1,750-$1,999 ($91,000-$103,999)"
Kurri Kurri - Abermain,0,0,0,4,6,3,3,4,13,17,8,25,6,3,92,1706.521739,1706,"$1,500-$1,749 ($78,000-$90,999)"
Singleton,0,0,0,0,0,0,3,7,19,14,19,99,32,49,242,2347.417355,2347,"$2,000-$2,999 ($104,000-$155,999)"
Singleton Surrounds,0,3,3,3,0,0,3,8,3,0,11,19,8,17,78,2147.75641,2147,"$2,000-$2,999 ($104,000-$155,999)"
Maitland,0,5,0,0,4,0,5,7,15,11,14,32,8,8,109,1865.137615,1865,"$1,750-$1,999 ($91,000-$103,999)"
Maitland - North,0,0,0,4,0,0,3,9,9,13,15,46,12,25,136,2193.933824,2193,"$2,000-$2,999 ($104,000-$155,999)"
East Maitland - Metford,0,0,0,0,6,0,12,13,23,19,22,70,21,15,201,1981.965174,1981,"$1,750-$1,999 ($91,000-$103,999)"
Rutherford (North) - Aberglasslyn,0,3,0,0,5,3,7,13,7,15,16,36,19,15,139,2031.654676,2031,"$2,000-$2,999 ($104,000-$155,999)"
Rutherford (South) - Telarah,5,0,3,0,0,5,0,5,7,9,7,13,0,4,58,1565.517241,1565,"$1,500-$1,749 ($78,000-$90,999)"
Tenambit - East Maitland,0,0,0,0,0,4,6,9,13,14,7,33,8,16,110,2003.863636,2003,"$2,000-$2,999 ($104,000-$155,999)"
Thornton - Millers Forest,0,0,0,0,0,3,8,18,31,16,24,60,13,18,191,1968.586387,1968,"$1,750-$1,999 ($91,000-$103,999)"
Anna Bay,0,4,0,0,0,3,3,7,8,14,8,25,4,10,86,1886.918605,1886,"$1,750-$1,999 ($91,000-$103,999)"
Lemon Tree Passage - Tanilba Bay,0,0,0,0,0,0,0,0,3,4,4,12,0,6,29,2211.206897,2211,"$2,000-$2,999 ($104,000-$155,999)"
Nelson Bay Peninsula,3,8,4,5,3,7,10,19,26,16,19,71,18,24,233,1835.729614,1835,"$1,750-$1,999 ($91,000-$103,999)"
Raymond Terrace,0,0,0,0,0,0,0,11,8,8,6,11,3,5,52,1908.653846,1908,"$1,750-$1,999 ($91,000-$103,999)"
Seaham - Woodville,0,0,0,5,0,0,8,5,3,12,8,23,7,14,85,2042.058824,2042,"$2,000-$2,999 ($104,000-$155,999)"
Tea Gardens - Hawks Nest,0,0,0,0,0,5,0,5,0,3,0,8,0,8,29,1969.827586,1969,"$1,750-$1,999 ($91,000-$103,999)"
Williamtown - Medowie - Karuah,0,4,4,0,0,0,7,10,6,16,15,42,18,23,145,2133.448276,2133,"$2,000-$2,999 ($104,000-$155,999)"
Muswellbrook,0,0,0,0,0,0,6,5,9,14,11,41,11,6,103,2012.378641,2012,"$2,000-$2,999 ($104,000-$155,999)"
Muswellbrook Surrounds,0,0,0,0,0,3,0,4,4,6,0,7,4,4,32,1939.0625,1939,"$1,750-$1,999 ($91,000-$103,999)"
Scone,0,0,0,3,0,0,3,12,8,10,7,28,5,9,85,1912.352941,1912,"$1,750-$1,999 ($91,000-$103,999)"
Scone Surrounds,0,0,3,0,4,0,3,10,6,8,6,14,6,6,66,1822.727273,1822,"$1,750-$1,999 ($91,000-$103,999)"
Dapto - Avondale,0,0,0,4,4,8,12,12,16,23,12,42,9,9,151,1742.218543,1742,"$1,500-$1,749 ($78,000-$90,999)"
Horsley - Kembla Grange,0,0,0,0,4,8,5,16,12,16,18,29,16,5,129,1875.775194,1875,"$1,750-$1,999 ($91,000-$103,999)"
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,0,3,3,0,9,4,9,16,26,25,33,77,22,22,249,1958.433735,1958,"$1,750-$1,999 ($91,000-$103,999)"
Berkeley - Lake Heights - Cringila,0,0,4,0,0,6,4,12,21,10,12,29,3,3,104,1659.615385,1659,"$1,500-$1,749 ($78,000-$90,999)"
Port Kembla - Warrawong,0,0,0,0,0,4,0,7,5,12,13,16,9,3,69,2020.289855,2020,"$2,000-$2,999 ($104,000-$155,999)"
Windang - Primbee,0,0,0,0,0,0,0,0,4,3,5,5,0,4,21,2202.380952,2202,"$2,000-$2,999 ($104,000-$155,999)"
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,4,0,0,3,9,3,8,12,21,19,19,54,13,13,178,1831.179775,1831,"$1,750-$1,999 ($91,000-$103,999)"
Albion Park Rail,0,0,0,0,0,0,0,7,3,7,4,6,5,0,32,1902.34375,1902,"$1,750-$1,999 ($91,000-$103,999)"
Kiama,0,0,0,0,4,5,3,11,18,21,16,41,23,15,157,2063.694268,2063,"$2,000-$2,999 ($104,000-$155,999)"
Kiama Downs - Minnamurra,0,0,0,0,0,0,9,10,13,9,4,36,3,13,97,1903.092784,1903,"$1,750-$1,999 ($91,000-$103,999)"
Kiama Hinterland - Gerringong,0,0,3,0,6,3,6,13,12,14,17,48,12,33,167,2113.473054,2113,"$2,000-$2,999 ($104,000-$155,999)"
Shellharbour - Flinders,0,3,3,5,5,5,12,19,18,31,19,88,28,28,264,1966.950758,1966,"$1,750-$1,999 ($91,000-$103,999)"
Shellharbour - Oak Flats,0,0,0,0,0,6,7,8,6,12,9,20,4,7,79,1834.177215,1834,"$1,750-$1,999 ($91,000-$103,999)"
Warilla,0,0,5,0,4,4,12,13,9,12,19,18,10,3,109,1729.357798,1729,"$1,500-$1,749 ($78,000-$90,999)"
Balgownie - Fairy Meadow,0,6,0,3,10,8,23,28,32,57,37,104,16,29,353,1824.575071,1824,"$1,750-$1,999 ($91,000-$103,999)"
Corrimal - Tarrawanna - Bellambi,0,0,0,4,3,6,11,20,21,31,30,59,15,11,211,1859.71564,1859,"$1,750-$1,999 ($91,000-$103,999)"
Figtree - Keiraville,0,3,4,8,15,14,33,46,47,45,43,109,30,30,427,1775.234192,1775,"$1,750-$1,999 ($91,000-$103,999)"
Helensburgh,4,0,0,0,8,5,7,20,21,28,11,62,15,14,195,1811.282051,1811,"$1,750-$1,999 ($91,000-$103,999)"
Thirroul - Austinmer - Coalcliff,0,0,3,3,5,14,11,20,31,38,35,72,20,46,298,2015.771812,2015,"$2,000-$2,999 ($104,000-$155,999)"
Woonona - Bulli - Russell Vale,0,0,4,3,15,16,19,27,30,49,40,104,33,51,391,1974.616368,1974,"$1,750-$1,999 ($91,000-$103,999)"
