INCP Health Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Tweed Heads,0,0,5,15,21,33,33,68,54,93,64,75,22,23,506,1637.747036,1637,"$1,500-$1,749 ($78,000-$90,999)"
Banora Point,0,8,10,8,17,26,18,52,50,62,48,53,7,14,373,1535.790885,1535,"$1,500-$1,749 ($78,000-$90,999)"
Terranora - North Tumbulgum,0,4,0,0,4,9,7,11,11,19,5,21,7,13,111,1752.477477,1752,"$1,750-$1,999 ($91,000-$103,999)"
Tweed Heads South,0,0,0,0,0,12,5,17,21,22,17,11,6,4,115,1683.26087,1683,"$1,500-$1,749 ($78,000-$90,999)"
Griffith (NSW),0,0,0,0,7,14,27,40,69,72,62,64,7,42,404,1831.930693,1831,"$1,750-$1,999 ($91,000-$103,999)"
Griffith Surrounds,0,0,0,6,6,11,14,17,17,16,9,10,0,9,115,1460.652174,1460,"$1,250-$1,499 ($65,000-$77,999)"
Leeton,0,0,0,0,3,10,11,26,20,14,19,14,0,14,131,1687.977099,1687,"$1,500-$1,749 ($78,000-$90,999)"
Narrandera,0,0,0,0,3,4,3,12,6,5,11,6,3,4,57,1749.122807,1749,"$1,500-$1,749 ($78,000-$90,999)"
Tumbarumba,0,0,0,3,0,3,3,5,0,11,0,7,4,0,36,1551.388889,1551,"$1,500-$1,749 ($78,000-$90,999)"
Tumut,0,0,0,0,4,3,4,19,8,11,14,19,0,10,92,1782.065217,1782,"$1,750-$1,999 ($91,000-$103,999)"
Tumut Surrounds,0,0,0,0,0,6,6,7,11,6,6,9,3,0,54,1557.87037,1557,"$1,500-$1,749 ($78,000-$90,999)"
