INCP Health Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Bellingen,0,0,0,6,9,11,15,30,20,19,15,14,4,13,156,1562.339744,1562,"$1,500-$1,749 ($78,000-$90,999)"
Coffs Harbour - North,0,0,0,3,8,20,23,59,61,64,58,71,10,52,429,1836.888112,1836,"$1,750-$1,999 ($91,000-$103,999)"
Coffs Harbour - South,0,3,0,0,11,10,14,42,56,61,45,70,17,41,370,1872.22973,1872,"$1,750-$1,999 ($91,000-$103,999)"
Coramba - Nana Glen - Bucca,0,0,0,0,3,6,4,20,8,10,8,18,0,5,82,1593.597561,1593,"$1,500-$1,749 ($78,000-$90,999)"
Dorrigo,0,3,0,3,0,3,3,7,8,3,8,10,0,0,48,1445.833333,1445,"$1,250-$1,499 ($65,000-$77,999)"
Korora - Emerald Beach,0,0,0,5,7,9,23,46,38,37,40,77,20,75,377,2041.114058,2041,"$2,000-$2,999 ($104,000-$155,999)"
Sawtell - Boambee,0,0,5,3,15,24,42,66,74,101,92,105,12,40,579,1749.438687,1749,"$1,500-$1,749 ($78,000-$90,999)"
Urunga,0,0,3,4,0,10,7,15,12,14,21,14,3,6,109,1669.954128,1669,"$1,500-$1,749 ($78,000-$90,999)"
Woolgoolga - Arrawarra,0,4,4,6,8,15,30,54,30,51,28,43,0,16,289,1518.944637,1518,"$1,500-$1,749 ($78,000-$90,999)"
Bourke - Brewarrina,0,0,0,0,5,7,0,0,17,18,8,7,5,6,73,1793.835616,1793,"$1,750-$1,999 ($91,000-$103,999)"
Cobar,0,0,0,0,8,0,0,5,6,15,8,13,0,4,59,1715.677966,1715,"$1,500-$1,749 ($78,000-$90,999)"
Coonamble,0,0,0,0,0,3,7,6,8,9,3,7,0,3,46,1564.673913,1564,"$1,500-$1,749 ($78,000-$90,999)"
Nyngan - Warren,0,0,0,0,0,4,8,12,9,11,6,3,0,4,57,1552.192982,1552,"$1,500-$1,749 ($78,000-$90,999)"
Walgett - Lightning Ridge,0,0,0,0,0,0,5,12,13,12,8,13,0,8,71,1799.295775,1799,"$1,750-$1,999 ($91,000-$103,999)"
Broken Hill,0,0,0,6,7,5,19,55,64,75,84,99,12,34,460,1853.967391,1853,"$1,750-$1,999 ($91,000-$103,999)"
Far West,0,0,0,0,0,0,0,6,5,4,9,11,0,4,39,1980.769231,1980,"$1,750-$1,999 ($91,000-$103,999)"
Coonabarabran,0,0,0,3,9,8,13,21,13,19,6,12,4,6,114,1472.807018,1472,"$1,250-$1,499 ($65,000-$77,999)"
Dubbo - East,0,0,3,4,11,10,11,31,54,50,29,52,14,31,300,1802.333333,1802,"$1,750-$1,999 ($91,000-$103,999)"
Dubbo - South,0,0,4,10,4,15,23,78,114,116,70,152,25,56,667,1814.130435,1814,"$1,750-$1,999 ($91,000-$103,999)"
Dubbo - West,0,0,0,0,4,8,15,30,24,44,29,37,22,35,248,1998.891129,1998,"$1,750-$1,999 ($91,000-$103,999)"
Dubbo Surrounds,0,0,3,0,5,4,15,19,13,27,15,19,5,8,133,1660.338346,1660,"$1,500-$1,749 ($78,000-$90,999)"
Gilgandra,5,0,0,3,6,4,13,19,17,15,4,12,0,3,101,1305.940594,1305,"$1,250-$1,499 ($65,000-$77,999)"
Narromine,0,0,0,0,3,6,8,9,18,9,6,15,0,5,79,1562.025316,1562,"$1,500-$1,749 ($78,000-$90,999)"
Wellington,0,0,0,4,5,12,10,16,14,12,17,11,3,3,107,1518.691589,1518,"$1,500-$1,749 ($78,000-$90,999)"
Branxton - Greta - Pokolbin,0,0,4,0,7,17,15,30,22,35,37,29,10,13,219,1721.461187,1721,"$1,500-$1,749 ($78,000-$90,999)"
Cessnock,0,0,0,4,18,25,31,51,29,39,23,31,10,5,266,1445.206767,1445,"$1,250-$1,499 ($65,000-$77,999)"
Cessnock Surrounds,0,4,0,6,7,12,16,22,17,27,15,31,6,8,171,1554.678363,1554,"$1,500-$1,749 ($78,000-$90,999)"
Dungog,0,0,0,3,5,19,19,28,15,23,10,23,4,10,159,1513.993711,1513,"$1,500-$1,749 ($78,000-$90,999)"
Kurri Kurri - Abermain,0,0,0,8,11,21,22,48,45,40,38,40,0,5,278,1486.780576,1486,"$1,250-$1,499 ($65,000-$77,999)"
Singleton,0,0,0,9,10,16,17,37,30,27,22,26,4,10,208,1515.384615,1515,"$1,500-$1,749 ($78,000-$90,999)"
Singleton Surrounds,4,0,0,3,3,3,6,8,9,10,0,9,3,3,61,1404.918033,1404,"$1,250-$1,499 ($65,000-$77,999)"
Maitland,0,0,0,0,3,8,16,25,30,45,25,28,8,17,205,1780.121951,1780,"$1,750-$1,999 ($91,000-$103,999)"
Maitland - North,0,5,3,5,10,16,19,35,22,42,22,54,3,24,260,1641.346154,1641,"$1,500-$1,749 ($78,000-$90,999)"
East Maitland - Metford,4,0,0,9,7,13,24,67,59,56,39,62,20,33,393,1733.206107,1733,"$1,500-$1,749 ($78,000-$90,999)"
Rutherford (North) - Aberglasslyn,0,4,6,0,14,12,22,52,58,49,46,50,7,12,332,1599.171687,1599,"$1,500-$1,749 ($78,000-$90,999)"
Rutherford (South) - Telarah,0,0,0,5,5,6,12,24,18,23,21,15,0,3,132,1519.128788,1519,"$1,500-$1,749 ($78,000-$90,999)"
Tenambit - East Maitland,0,0,0,0,7,12,15,21,29,46,27,28,9,5,199,1664.447236,1664,"$1,500-$1,749 ($78,000-$90,999)"
Thornton - Millers Forest,0,4,3,8,3,18,34,52,68,78,53,66,6,17,410,1621.768293,1621,"$1,500-$1,749 ($78,000-$90,999)"
Anna Bay,0,3,5,0,7,4,8,17,16,15,5,6,3,7,96,1458.854167,1458,"$1,250-$1,499 ($65,000-$77,999)"
Lemon Tree Passage - Tanilba Bay,0,0,0,0,5,12,8,15,11,7,6,12,0,0,76,1311.184211,1311,"$1,250-$1,499 ($65,000-$77,999)"
Nelson Bay Peninsula,0,0,4,7,14,27,31,36,43,53,28,33,10,46,332,1720.481928,1720,"$1,500-$1,749 ($78,000-$90,999)"
Raymond Terrace,3,0,7,5,9,16,23,27,27,25,23,15,3,4,187,1389.839572,1389,"$1,250-$1,499 ($65,000-$77,999)"
Seaham - Woodville,0,0,6,5,8,15,16,28,12,20,14,17,0,10,151,1434.437086,1434,"$1,250-$1,499 ($65,000-$77,999)"
Tea Gardens - Hawks Nest,0,0,4,5,4,7,3,8,10,9,13,7,4,6,80,1634.0625,1634,"$1,500-$1,749 ($78,000-$90,999)"
Williamtown - Medowie - Karuah,0,0,0,0,12,22,21,47,28,39,24,45,0,4,242,1466.42562,1466,"$1,250-$1,499 ($65,000-$77,999)"
Muswellbrook,0,0,0,0,9,9,10,13,14,21,14,31,4,8,133,1675.37594,1675,"$1,500-$1,749 ($78,000-$90,999)"
Muswellbrook Surrounds,0,0,0,0,0,0,10,8,8,4,0,5,0,0,35,1282.142857,1282,"$1,250-$1,499 ($65,000-$77,999)"
Scone,0,0,0,3,5,12,3,18,16,12,12,11,3,7,102,1590.686275,1590,"$1,500-$1,749 ($78,000-$90,999)"
Scone Surrounds,0,0,0,8,6,11,11,12,17,12,8,9,3,3,100,1384.25,1384,"$1,250-$1,499 ($65,000-$77,999)"
Dapto - Avondale,0,0,4,8,24,36,36,52,53,62,55,62,11,14,417,1553.776978,1553,"$1,500-$1,749 ($78,000-$90,999)"
Horsley - Kembla Grange,0,0,0,3,7,14,24,34,37,60,57,54,11,16,317,1764.195584,1764,"$1,750-$1,999 ($91,000-$103,999)"
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,0,5,3,4,3,13,28,44,50,58,51,75,10,42,386,1814.637306,1814,"$1,750-$1,999 ($91,000-$103,999)"
Berkeley - Lake Heights - Cringila,0,5,0,6,12,18,14,32,16,22,19,14,0,7,165,1384.090909,1384,"$1,250-$1,499 ($65,000-$77,999)"
Port Kembla - Warrawong,3,0,0,0,11,9,16,18,15,24,17,20,9,8,150,1630.666667,1630,"$1,500-$1,749 ($78,000-$90,999)"
Windang - Primbee,0,0,0,0,0,3,3,7,0,10,0,10,3,5,41,1829.268293,1829,"$1,750-$1,999 ($91,000-$103,999)"
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,0,0,0,8,17,23,34,65,70,67,46,65,8,4,407,1512.960688,1512,"$1,500-$1,749 ($78,000-$90,999)"
Albion Park Rail,0,0,0,5,0,11,11,15,15,9,20,4,0,5,95,1550,1550,"$1,500-$1,749 ($78,000-$90,999)"
Kiama,0,0,0,4,10,10,20,21,35,45,28,47,9,37,266,1859.210526,1859,"$1,750-$1,999 ($91,000-$103,999)"
Kiama Downs - Minnamurra,0,0,0,9,3,17,17,30,25,16,19,32,6,20,194,1672.809278,1672,"$1,500-$1,749 ($78,000-$90,999)"
Kiama Hinterland - Gerringong,0,0,5,0,11,16,18,20,28,36,19,42,15,28,238,1799.894958,1799,"$1,750-$1,999 ($91,000-$103,999)"
Shellharbour - Flinders,0,5,0,5,8,30,36,47,51,58,52,95,22,49,458,1813.318777,1813,"$1,750-$1,999 ($91,000-$103,999)"
Shellharbour - Oak Flats,0,0,0,0,8,5,20,27,21,32,17,34,6,15,185,1706.621622,1706,"$1,500-$1,749 ($78,000-$90,999)"
Warilla,0,0,0,3,5,13,30,43,45,52,38,38,5,8,280,1592.5,1592,"$1,500-$1,749 ($78,000-$90,999)"
Balgownie - Fairy Meadow,0,8,4,3,9,19,40,65,69,73,62,84,18,56,510,1790.441176,1790,"$1,750-$1,999 ($91,000-$103,999)"
Corrimal - Tarrawanna - Bellambi,0,0,4,0,5,19,17,54,47,53,49,59,12,13,332,1694.201807,1694,"$1,500-$1,749 ($78,000-$90,999)"
Figtree - Keiraville,0,3,7,6,15,32,41,73,82,105,76,117,19,99,675,1863.222222,1863,"$1,750-$1,999 ($91,000-$103,999)"
Helensburgh,0,0,0,5,0,11,17,19,22,22,24,43,4,20,187,1799.59893,1799,"$1,750-$1,999 ($91,000-$103,999)"
Thirroul - Austinmer - Coalcliff,0,5,0,10,13,19,32,46,46,40,41,58,23,100,433,2013.106236,2013,"$2,000-$2,999 ($104,000-$155,999)"
Woonona - Bulli - Russell Vale,0,9,5,9,15,27,43,72,79,78,66,124,21,58,606,1748.927393,1748,"$1,500-$1,749 ($78,000-$90,999)"
Wollongong - East,5,0,3,3,5,21,27,61,93,99,73,116,22,83,611,1905.973813,1905,"$1,750-$1,999 ($91,000-$103,999)"
Wollongong - West,5,4,4,4,9,19,26,74,72,99,92,101,27,52,588,1835.161565,1835,"$1,750-$1,999 ($91,000-$103,999)"
Bulahdelah - Stroud,0,0,4,0,3,8,12,12,10,11,5,9,0,0,74,1273.310811,1273,"$1,250-$1,499 ($65,000-$77,999)"
Forster,0,0,3,6,16,21,42,38,50,49,47,52,8,45,377,1738.992042,1738,"$1,500-$1,749 ($78,000-$90,999)"
Forster-Tuncurry Surrounds,0,0,0,3,8,6,17,18,12,12,10,13,3,10,112,1571.205357,1571,"$1,500-$1,749 ($78,000-$90,999)"
Tuncurry,0,0,0,0,6,11,14,14,14,12,12,15,4,5,107,1562.149533,1562,"$1,500-$1,749 ($78,000-$90,999)"
Kempsey,0,0,0,6,11,20,21,41,41,29,17,45,3,17,251,1546.513944,1546,"$1,500-$1,749 ($78,000-$90,999)"
Kempsey Surrounds,0,0,5,3,11,11,24,20,25,33,17,25,3,6,183,1473.360656,1473,"$1,250-$1,499 ($65,000-$77,999)"
Macksville - Scotts Head,0,0,0,4,3,5,5,23,14,20,8,6,0,0,88,1369.602273,1369,"$1,250-$1,499 ($65,000-$77,999)"
Nambucca Heads,0,0,3,3,0,6,10,18,17,15,3,11,0,6,92,1444.293478,1444,"$1,250-$1,499 ($65,000-$77,999)"
Nambucca Heads Surrounds,0,0,3,5,9,13,17,22,19,17,11,15,3,14,148,1527.533784,1527,"$1,500-$1,749 ($78,000-$90,999)"
South West Rocks,0,0,0,0,3,10,6,4,14,12,11,16,3,5,84,1694.940476,1694,"$1,500-$1,749 ($78,000-$90,999)"
Lord Howe Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurieton - Bonny Hills,0,4,4,10,9,25,32,44,42,55,40,26,3,9,303,1470.379538,1470,"$1,250-$1,499 ($65,000-$77,999)"
Port Macquarie - West,6,4,3,10,15,36,49,69,108,112,81,114,15,51,673,1689.970282,1689,"$1,500-$1,749 ($78,000-$90,999)"
Port Macquarie Surrounds,0,0,0,4,8,8,12,11,13,19,8,8,0,6,97,1444.587629,1444,"$1,250-$1,499 ($65,000-$77,999)"
Wauchope,0,0,0,7,4,14,24,33,44,39,38,34,6,30,273,1763.553114,1763,"$1,750-$1,999 ($91,000-$103,999)"
Port Macquarie - East,0,3,0,6,10,16,28,55,59,82,65,77,22,108,531,2031.167608,2031,"$2,000-$2,999 ($104,000-$155,999)"
Port Macquarie - South,0,0,0,4,14,19,37,64,78,72,75,100,17,56,536,1827.285448,1827,"$1,750-$1,999 ($91,000-$103,999)"
Gloucester,0,0,0,0,4,8,7,11,14,10,0,8,0,4,66,1382.954545,1382,"$1,250-$1,499 ($65,000-$77,999)"
Old Bar - Manning Point - Red Head,0,0,3,0,18,26,32,44,52,52,30,50,12,33,352,1669.886364,1669,"$1,500-$1,749 ($78,000-$90,999)"
Taree,0,3,0,10,13,26,36,55,60,96,61,71,10,32,473,1679.4926,1679,"$1,500-$1,749 ($78,000-$90,999)"
Taree Surrounds,0,4,4,4,12,17,22,34,24,33,31,29,6,11,231,1549.242424,1549,"$1,500-$1,749 ($78,000-$90,999)"
Wingham,3,0,3,6,5,9,8,13,17,20,11,19,0,8,122,1493.442623,1493,"$1,250-$1,499 ($65,000-$77,999)"
Albury - East,0,0,4,16,13,29,43,83,92,115,70,115,20,67,667,1758.133433,1758,"$1,750-$1,999 ($91,000-$103,999)"
Albury - North,0,0,0,0,6,3,14,26,36,32,22,25,3,13,180,1700.555556,1700,"$1,500-$1,749 ($78,000-$90,999)"
Albury - South,3,0,0,4,3,19,26,57,54,57,41,66,18,74,422,1932.879147,1932,"$1,750-$1,999 ($91,000-$103,999)"
Albury Surrounds,0,3,5,3,13,28,20,39,31,32,25,36,4,20,259,1548.455598,1548,"$1,500-$1,749 ($78,000-$90,999)"
Lavington,0,0,3,3,13,9,20,34,36,35,23,30,4,3,213,1484.859155,1484,"$1,250-$1,499 ($65,000-$77,999)"
Hay,0,0,0,0,0,0,0,9,0,3,3,5,0,3,23,1842.391304,1842,"$1,750-$1,999 ($91,000-$103,999)"
Wentworth - Buronga,0,0,3,0,4,9,12,14,10,13,9,19,0,15,108,1684.490741,1684,"$1,500-$1,749 ($78,000-$90,999)"
Wentworth-Balranald Region,0,0,0,0,3,3,0,5,0,5,9,3,0,3,31,1815.322581,1815,"$1,750-$1,999 ($91,000-$103,999)"
Corowa,0,0,0,0,0,6,19,9,17,12,11,7,0,3,84,1494.940476,1494,"$1,250-$1,499 ($65,000-$77,999)"
Corowa Surrounds,0,0,0,0,0,9,17,17,23,14,11,13,7,6,117,1632.051282,1632,"$1,500-$1,749 ($78,000-$90,999)"
Deniliquin,0,0,3,3,3,10,9,13,16,13,10,23,14,5,122,1707.786885,1707,"$1,500-$1,749 ($78,000-$90,999)"
Deniliquin Surrounds,0,0,0,3,7,9,9,11,14,7,9,0,0,0,69,1239.130435,1239,"$1,000-$1,249 ($52,000-$64,999)"
Moama,0,0,0,3,6,10,14,20,25,20,15,17,0,17,147,1652.380952,1652,"$1,500-$1,749 ($78,000-$90,999)"
Tocumwal - Finley - Jerilderie,0,0,3,0,6,13,15,11,22,19,14,17,7,5,132,1576.136364,1576,"$1,500-$1,749 ($78,000-$90,999)"
Armidale,0,6,6,3,6,19,37,67,97,86,74,70,18,55,544,1785.064338,1785,"$1,750-$1,999 ($91,000-$103,999)"
Armidale Surrounds - North,0,4,0,3,6,3,3,10,6,4,9,13,5,5,71,1650.704225,1650,"$1,500-$1,749 ($78,000-$90,999)"
Armidale Surrounds - South,0,0,0,0,3,0,4,16,15,19,14,13,4,12,100,1892,1892,"$1,750-$1,999 ($91,000-$103,999)"
Walcha,0,0,0,0,3,4,4,6,3,6,0,0,0,3,29,1356.896552,1356,"$1,250-$1,499 ($65,000-$77,999)"
Glen Innes,3,0,0,3,3,7,21,16,13,14,15,17,3,8,123,1569.308943,1569,"$1,500-$1,749 ($78,000-$90,999)"
Inverell,0,0,0,4,4,17,20,20,16,29,24,17,0,18,169,1662.278107,1662,"$1,500-$1,749 ($78,000-$90,999)"
Inverell Surrounds - East,0,0,0,5,0,5,5,7,8,3,4,7,0,0,44,1301.136364,1301,"$1,250-$1,499 ($65,000-$77,999)"
Inverell Surrounds - West,0,0,4,5,6,12,8,8,8,11,3,5,3,6,79,1373.417722,1373,"$1,250-$1,499 ($65,000-$77,999)"
Tenterfield,0,0,0,6,6,7,8,4,8,13,5,5,5,6,73,1564.041096,1564,"$1,500-$1,749 ($78,000-$90,999)"
Moree,0,0,0,4,4,9,8,9,23,12,10,16,5,12,112,1717.1875,1717,"$1,500-$1,749 ($78,000-$90,999)"
Moree Surrounds,0,0,0,0,5,4,6,0,7,10,0,7,0,0,39,1286.538462,1286,"$1,250-$1,499 ($65,000-$77,999)"
Narrabri,0,0,0,0,4,7,14,16,13,13,12,15,5,7,106,1658.962264,1658,"$1,500-$1,749 ($78,000-$90,999)"
Narrabri Surrounds,0,0,3,0,0,4,11,8,9,12,10,9,3,0,69,1541.304348,1541,"$1,500-$1,749 ($78,000-$90,999)"
Gunnedah,0,0,4,5,6,9,6,19,15,12,8,20,4,10,118,1576.483051,1576,"$1,500-$1,749 ($78,000-$90,999)"
Gunnedah Surrounds,0,0,0,0,0,3,7,15,6,8,9,10,0,4,62,1642.741935,1642,"$1,500-$1,749 ($78,000-$90,999)"
Quirindi,0,0,0,3,4,16,10,11,9,9,11,11,5,0,89,1438.202247,1438,"$1,250-$1,499 ($65,000-$77,999)"
Tamworth - East,0,0,0,9,5,21,25,55,61,65,61,63,16,31,412,1764.927184,1764,"$1,750-$1,999 ($91,000-$103,999)"
Tamworth - North,0,6,3,6,7,20,31,80,128,126,96,134,37,79,753,1872.875166,1872,"$1,750-$1,999 ($91,000-$103,999)"
Tamworth - West,0,0,0,3,0,5,6,6,7,8,9,7,4,0,55,1606.818182,1606,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth Surrounds,0,0,8,7,12,33,29,67,58,51,44,61,13,40,423,1672.576832,1672,"$1,500-$1,749 ($78,000-$90,999)"
Belmont - Bennetts Green,0,3,8,3,16,24,22,58,62,52,63,64,13,39,427,1738.81733,1738,"$1,500-$1,749 ($78,000-$90,999)"
Belmont South - Blacksmiths,0,0,4,0,4,0,5,8,14,16,5,7,4,4,71,1620.774648,1620,"$1,500-$1,749 ($78,000-$90,999)"
Charlestown - Dudley,0,0,3,3,16,42,50,105,136,155,107,192,31,78,918,1792.265795,1792,"$1,750-$1,999 ($91,000-$103,999)"
Glendale - Cardiff - Hillsborough,0,0,0,8,19,41,53,94,98,126,99,131,28,57,754,1751.757294,1751,"$1,750-$1,999 ($91,000-$103,999)"
Mount Hutton - Windale,0,3,0,3,4,5,16,27,30,16,19,31,3,11,168,1630.059524,1630,"$1,500-$1,749 ($78,000-$90,999)"
Redhead,0,0,0,0,3,7,8,12,9,19,15,24,0,23,120,1947.916667,1947,"$1,750-$1,999 ($91,000-$103,999)"
Swansea - Caves Beach,0,0,7,4,12,3,33,28,35,42,21,36,7,11,239,1557.112971,1557,"$1,500-$1,749 ($78,000-$90,999)"
Valentine - Eleebana,0,7,3,3,8,23,31,56,57,73,42,83,21,64,471,1838.694268,1838,"$1,750-$1,999 ($91,000-$103,999)"
Warners Bay - Boolaroo,0,4,3,6,12,16,34,54,69,68,55,108,13,55,497,1800.050302,1800,"$1,750-$1,999 ($91,000-$103,999)"
Bolton Point - Teralba,0,0,3,5,10,13,16,36,36,34,14,46,0,10,223,1499.439462,1499,"$1,250-$1,499 ($65,000-$77,999)"
Bonnells Bay - Silverwater,0,0,0,4,6,16,28,26,38,31,19,29,10,5,212,1536.792453,1536,"$1,500-$1,749 ($78,000-$90,999)"
Edgeworth - Cameron Park,0,5,5,5,10,26,34,51,85,89,45,88,16,42,501,1707.984032,1707,"$1,500-$1,749 ($78,000-$90,999)"
Morisset - Cooranbong,4,0,4,6,21,33,50,56,56,47,43,51,3,10,384,1431.380208,1431,"$1,250-$1,499 ($65,000-$77,999)"
Toronto - Awaba,0,0,4,3,3,19,30,34,34,28,40,46,7,24,272,1723.345588,1723,"$1,500-$1,749 ($78,000-$90,999)"
