INCP Business Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Newcastle - Cooks Hill,0,0,0,3,8,13,37,38,67,72,59,132,33,56,518,1928.185328,1928,"$1,750-$1,999 ($91,000-$103,999)"
Newcastle Port - Kooragang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortland - Jesmond,0,0,3,4,8,10,16,22,27,22,11,14,0,0,137,1317.335766,1317,"$1,250-$1,499 ($65,000-$77,999)"
Stockton - Fullerton Cove,0,0,0,0,0,3,4,18,26,27,16,48,9,9,160,1852.5,1852,"$1,750-$1,999 ($91,000-$103,999)"
Wallsend - Elermore Vale,4,0,0,5,8,12,23,41,41,67,50,65,14,19,349,1738.681948,1738,"$1,500-$1,749 ($78,000-$90,999)"
Waratah - North Lambton,0,4,0,3,10,13,17,30,38,34,26,65,13,8,261,1651.724138,1651,"$1,500-$1,749 ($78,000-$90,999)"
Wickham - Carrington - Tighes Hill,0,3,0,3,3,3,24,44,25,49,46,67,20,17,304,1829.440789,1829,"$1,750-$1,999 ($91,000-$103,999)"
Ballina,0,3,4,3,0,14,31,28,30,33,26,41,3,25,241,1688.692946,1688,"$1,500-$1,749 ($78,000-$90,999)"
Ballina Surrounds,0,3,5,8,5,12,21,37,22,36,32,59,8,31,279,1763.44086,1763,"$1,750-$1,999 ($91,000-$103,999)"
Bangalow,0,4,0,0,4,7,11,22,11,30,14,39,15,38,195,2034.230769,2034,"$2,000-$2,999 ($104,000-$155,999)"
Brunswick Heads - Ocean Shores,0,6,0,8,4,13,14,20,18,16,25,19,15,12,170,1714.117647,1714,"$1,500-$1,749 ($78,000-$90,999)"
Byron Bay,0,7,7,4,11,18,19,34,35,26,32,50,16,45,304,1822.944079,1822,"$1,750-$1,999 ($91,000-$103,999)"
Evans Head,0,0,0,0,0,3,3,7,5,9,0,5,0,0,32,1363.28125,1363,"$1,250-$1,499 ($65,000-$77,999)"
Lennox Head - Skennars Head,0,0,0,0,5,14,15,19,20,22,23,46,10,49,223,2057.847534,2057,"$2,000-$2,999 ($104,000-$155,999)"
Mullumbimby,0,3,3,4,11,9,19,24,20,14,8,16,7,25,163,1662.423313,1662,"$1,500-$1,749 ($78,000-$90,999)"
Casino,0,4,0,3,4,4,15,22,16,7,8,5,0,0,88,1232.386364,1232,"$1,000-$1,249 ($52,000-$64,999)"
Casino Surrounds,0,0,0,0,6,0,5,12,8,3,0,3,0,4,41,1389.02439,1389,"$1,250-$1,499 ($65,000-$77,999)"
Goonellabah,0,0,0,0,8,12,17,36,34,27,21,27,4,8,194,1566.237113,1566,"$1,500-$1,749 ($78,000-$90,999)"
Kyogle,0,0,0,0,12,0,9,8,6,6,7,15,0,5,68,1545.955882,1545,"$1,500-$1,749 ($78,000-$90,999)"
Lismore,0,0,0,4,5,8,21,32,32,16,12,15,3,10,158,1507.911392,1507,"$1,500-$1,749 ($78,000-$90,999)"
Lismore Surrounds,0,0,0,0,4,14,11,14,23,39,19,45,8,13,190,1770.921053,1770,"$1,750-$1,999 ($91,000-$103,999)"
Kingscliff - Fingal Head,0,7,6,14,12,21,24,28,26,36,35,61,27,44,341,1827.199413,1827,"$1,750-$1,999 ($91,000-$103,999)"
Murwillumbah,0,0,6,0,6,3,0,13,20,10,7,24,0,0,89,1444.94382,1444,"$1,250-$1,499 ($65,000-$77,999)"
Murwillumbah Surrounds,0,3,0,5,0,8,7,18,14,11,18,15,3,8,110,1666.136364,1666,"$1,500-$1,749 ($78,000-$90,999)"
Pottsville,0,4,0,3,6,13,16,21,36,21,16,36,11,15,198,1679.419192,1679,"$1,500-$1,749 ($78,000-$90,999)"
Tweed Heads,0,0,0,8,7,11,25,34,40,28,32,46,10,13,254,1657.874016,1657,"$1,500-$1,749 ($78,000-$90,999)"
Banora Point,0,0,0,5,7,8,13,20,25,25,14,32,8,11,168,1671.279762,1671,"$1,500-$1,749 ($78,000-$90,999)"
Terranora - North Tumbulgum,0,0,3,0,3,6,3,4,9,10,6,16,3,0,63,1550.793651,1550,"$1,500-$1,749 ($78,000-$90,999)"
Tweed Heads South,0,0,0,0,4,6,8,12,14,14,10,11,0,0,79,1455.379747,1455,"$1,250-$1,499 ($65,000-$77,999)"
Griffith (NSW),0,0,0,0,7,21,34,45,44,37,29,60,12,14,303,1630.693069,1630,"$1,500-$1,749 ($78,000-$90,999)"
Griffith Surrounds,0,0,0,0,0,0,16,29,19,17,12,23,8,4,128,1671.09375,1671,"$1,500-$1,749 ($78,000-$90,999)"
Leeton,0,0,4,0,0,3,6,16,24,15,5,12,3,3,91,1534.065934,1534,"$1,500-$1,749 ($78,000-$90,999)"
Narrandera,0,0,0,0,0,4,0,5,10,9,0,3,0,0,31,1371.774194,1371,"$1,250-$1,499 ($65,000-$77,999)"
Tumbarumba,0,0,0,0,0,0,0,3,3,3,0,0,0,0,9,1375,1375,"$1,250-$1,499 ($65,000-$77,999)"
Tumut,0,0,0,0,3,3,3,8,5,7,10,7,0,4,50,1719.5,1719,"$1,500-$1,749 ($78,000-$90,999)"
Tumut Surrounds,0,0,0,0,0,0,4,5,4,0,5,10,0,5,33,1923.484848,1923,"$1,750-$1,999 ($91,000-$103,999)"
Cootamundra,0,0,0,0,0,0,6,9,17,11,4,15,7,5,74,1826.351351,1826,"$1,750-$1,999 ($91,000-$103,999)"
Gundagai,0,0,0,0,0,0,0,3,0,3,8,5,0,0,19,1980.263158,1980,"$1,750-$1,999 ($91,000-$103,999)"
Junee,0,0,0,0,0,0,0,0,9,7,6,6,3,6,37,2182.432432,2182,"$2,000-$2,999 ($104,000-$155,999)"
Temora,0,0,0,0,5,4,3,13,4,6,9,15,5,4,68,1753.308824,1753,"$1,750-$1,999 ($91,000-$103,999)"
Wagga Wagga - East,0,0,0,3,11,8,15,35,49,43,37,66,11,31,309,1825.566343,1825,"$1,750-$1,999 ($91,000-$103,999)"
Wagga Wagga - North,0,0,0,0,5,0,12,11,21,34,23,25,3,3,137,1713.868613,1713,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - South,0,6,5,0,9,9,28,38,61,77,54,83,17,24,411,1755.778589,1755,"$1,750-$1,999 ($91,000-$103,999)"
Wagga Wagga - West,0,0,0,5,13,30,31,52,37,42,37,53,14,16,330,1607.19697,1607,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga Surrounds,0,0,7,3,5,11,18,29,26,40,40,48,11,28,266,1834.492481,1834,"$1,750-$1,999 ($91,000-$103,999)"
Berry - Kangaroo Valley,0,0,0,3,11,11,9,21,16,18,19,35,13,40,196,2010.204082,2010,"$2,000-$2,999 ($104,000-$155,999)"
Callala Bay - Currarong,0,0,0,0,0,0,3,7,8,9,11,9,4,8,59,2060.59322,2060,"$2,000-$2,999 ($104,000-$155,999)"
Culburra Beach,0,0,0,0,3,3,3,10,9,8,11,17,0,8,72,1813.888889,1813,"$1,750-$1,999 ($91,000-$103,999)"
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,1387.5,1387,"$1,250-$1,499 ($65,000-$77,999)"
Huskisson - Vincentia,0,0,0,0,7,3,6,10,4,9,12,20,4,19,94,2021.010638,2021,"$2,000-$2,999 ($104,000-$155,999)"
North Nowra - Bomaderry,0,0,5,3,10,7,13,25,22,24,16,35,8,13,181,1658.149171,1658,"$1,500-$1,749 ($78,000-$90,999)"
Nowra,0,0,0,3,0,4,14,30,19,26,15,29,0,6,146,1588.013699,1588,"$1,500-$1,749 ($78,000-$90,999)"
St Georges Basin - Erowal Bay,0,4,6,8,3,0,14,20,16,17,16,19,7,4,134,1533.022388,1533,"$1,500-$1,749 ($78,000-$90,999)"
Sussex Inlet - Berrara,0,0,0,0,0,0,4,0,0,3,6,4,0,0,17,1822.058824,1822,"$1,750-$1,999 ($91,000-$103,999)"
Tomerong - Wandandian - Woollamia,0,0,0,0,0,3,9,3,8,12,3,16,5,3,62,1748.387097,1748,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla,0,0,3,9,12,10,18,17,13,18,14,38,6,28,186,1749.731183,1749,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla Surrounds,0,0,0,0,3,5,9,8,5,7,0,14,12,11,74,1952.027027,1952,"$1,750-$1,999 ($91,000-$103,999)"
Bowral,0,3,3,11,11,18,17,37,31,34,28,85,25,102,405,2095,2095,"$2,000-$2,999 ($104,000-$155,999)"
Hill Top - Colo Vale,0,0,0,0,3,3,4,7,8,11,14,10,5,3,68,1834.558824,1834,"$1,750-$1,999 ($91,000-$103,999)"
Mittagong,0,0,3,0,6,4,10,26,21,19,27,40,19,45,220,2123.409091,2123,"$2,000-$2,999 ($104,000-$155,999)"
Moss Vale - Berrima,0,0,0,5,0,8,9,13,11,21,19,52,11,22,171,1975.292398,1975,"$1,750-$1,999 ($91,000-$103,999)"
Robertson - Fitzroy Falls,0,0,0,0,0,6,0,6,9,10,6,17,0,32,86,2309.302326,2309,"$2,000-$2,999 ($104,000-$155,999)"
Southern Highlands,0,0,4,0,0,7,3,12,10,13,9,21,10,44,133,2300.18797,2300,"$2,000-$2,999 ($104,000-$155,999)"
