INCP Business Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Dapto - Avondale,0,0,4,6,10,12,26,38,27,42,39,57,7,12,280,1640,1640,"$1,500-$1,749 ($78,000-$90,999)"
Horsley - Kembla Grange,0,0,5,0,9,13,12,31,36,43,20,47,20,4,240,1660.520833,1660,"$1,500-$1,749 ($78,000-$90,999)"
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,3,3,0,5,9,15,24,40,42,48,32,63,15,23,322,1704.736025,1704,"$1,500-$1,749 ($78,000-$90,999)"
Berkeley - Lake Heights - Cringila,0,0,0,0,4,8,11,23,23,18,16,21,4,5,133,1613.721805,1613,"$1,500-$1,749 ($78,000-$90,999)"
Port Kembla - Warrawong,0,0,0,0,4,5,9,10,17,19,8,21,4,5,102,1660.784314,1660,"$1,500-$1,749 ($78,000-$90,999)"
Windang - Primbee,0,0,0,6,0,0,0,4,14,4,5,9,4,4,50,1786.5,1786,"$1,750-$1,999 ($91,000-$103,999)"
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,0,5,0,3,7,8,26,49,51,59,27,63,11,10,319,1608.777429,1608,"$1,500-$1,749 ($78,000-$90,999)"
Albion Park Rail,0,0,0,0,0,5,8,3,13,5,6,12,4,0,56,1619.642857,1619,"$1,500-$1,749 ($78,000-$90,999)"
Kiama,3,0,0,5,5,14,6,21,28,25,20,40,12,19,198,1788.636364,1788,"$1,750-$1,999 ($91,000-$103,999)"
Kiama Downs - Minnamurra,0,3,0,0,0,0,11,16,16,15,19,21,7,14,122,1914.54918,1914,"$1,750-$1,999 ($91,000-$103,999)"
Kiama Hinterland - Gerringong,0,5,7,0,6,4,11,15,22,23,16,35,17,43,204,2037.745098,2037,"$2,000-$2,999 ($104,000-$155,999)"
Shellharbour - Flinders,0,5,4,3,12,12,32,44,62,40,40,96,27,41,418,1816.447368,1816,"$1,750-$1,999 ($91,000-$103,999)"
