RAID Rent Affordability Indicator,Households where rent payments are less than or equal to 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Households where rent payments are more than 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Unable to be determined,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,
RNTRD Rent (weekly) Ranges,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
California Gully - Eaglehawk,10,15,68,25,35,41,67,47,117,80,116,111,79,43,22,9,9,0,3,0,0,0,0,0,0,0,0,4,6,4,13,21,39,52,35,79,47,74,41,56,11,8,3,6,0,0,0,0,3,0,0,0,0,0,0,0,5,0,7,3,5,8,6,7,6,11,7,4,0,0,4,0,0,0,0,0,0,0,0,57,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4230,15,22,83,34,64,79,126,91,202,141,197,165,146,63,35,8,11,0,5,3,3,4,0,0,0,59,4230
East Bendigo - Kennington,13,7,53,34,47,20,68,59,136,107,158,95,115,52,64,24,38,15,10,7,12,4,0,0,0,0,0,4,5,12,5,25,23,49,45,93,77,76,33,57,23,16,4,10,3,8,0,10,0,0,0,4,0,0,0,0,7,3,4,0,3,0,11,11,12,6,8,12,9,0,3,3,0,0,6,0,0,0,0,57,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4612,23,10,71,46,77,47,121,108,236,198,246,138,175,84,89,31,52,23,18,5,26,6,0,0,3,63,4612
Flora Hill - Spring Gully,7,16,28,16,31,32,46,45,124,103,123,74,101,42,35,18,17,5,3,0,3,0,0,0,0,0,0,0,0,3,6,18,25,40,53,74,52,59,29,36,15,18,0,6,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,8,7,3,7,7,4,0,3,0,4,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2989,5,17,30,25,46,59,88,102,205,159,190,110,141,68,59,23,31,12,7,4,10,3,0,0,0,29,2989
Kangaroo Flat - Golden Square,26,12,115,46,71,49,81,60,196,158,215,149,194,88,66,17,28,13,5,0,6,0,0,0,0,0,0,4,7,16,20,40,49,64,40,112,112,148,57,80,26,14,9,17,7,0,0,3,0,0,0,7,0,0,4,3,10,8,4,6,6,5,14,12,18,8,16,8,3,4,3,6,3,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6932,32,19,139,72,114,104,155,105,326,284,390,213,289,118,86,25,41,22,13,0,15,0,0,0,5,80,6932
Maiden Gully,0,0,0,0,0,3,5,0,3,3,10,3,12,8,16,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,0,0,0,0,3,5,4,3,4,3,9,3,16,8,24,4,8,4,8,6,3,0,0,0,0,11,1744
Strathfieldsaye,3,0,0,0,5,4,7,0,5,3,17,10,25,28,39,19,28,18,14,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,11,10,7,9,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3448,3,0,3,0,4,3,9,0,10,6,22,19,40,37,48,26,39,26,26,9,10,0,0,0,0,8,3448
White Hills - Ascot,3,3,30,12,15,8,30,23,56,67,113,106,149,78,76,22,28,5,3,0,4,0,0,0,0,0,0,0,4,5,3,10,16,18,14,26,29,58,36,74,17,27,8,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,4,5,0,3,3,0,7,5,14,4,7,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4365,3,8,30,17,20,21,46,43,84,97,175,142,235,97,108,29,35,9,8,0,3,3,4,0,0,38,4365
Bendigo Surrounds - South,0,0,6,5,8,0,15,0,6,3,16,8,10,10,14,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2936,0,0,3,5,3,0,22,4,7,11,27,11,24,12,16,0,4,4,4,0,0,0,0,0,0,15,2936
Castlemaine,8,6,43,16,12,13,24,16,36,26,60,42,54,32,35,6,28,12,6,0,5,0,0,0,0,0,0,0,7,17,3,9,20,24,16,24,43,63,33,46,13,24,9,7,7,0,0,6,0,0,0,0,0,0,0,0,10,0,3,0,4,0,6,0,0,9,3,5,4,0,3,0,4,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4518,17,11,74,18,21,34,43,26,66,75,126,82,104,51,62,17,38,16,11,4,14,3,0,0,0,38,4518
Castlemaine Surrounds,4,3,16,3,15,3,14,7,17,3,32,8,18,6,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,8,17,9,16,12,11,4,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4538,10,3,18,3,23,11,27,6,33,17,46,24,28,11,13,0,9,0,3,0,0,3,0,0,4,22,4538
Heathcote,3,0,13,5,12,4,10,9,15,3,23,0,9,5,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,7,9,9,15,7,12,4,11,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558,4,3,28,7,16,10,18,14,33,11,28,6,14,8,11,4,6,0,5,0,0,0,3,0,0,16,2558
Kyneton,16,5,21,10,10,7,9,11,23,10,28,21,31,32,46,19,37,20,19,4,19,7,0,0,0,0,0,0,0,4,3,7,7,11,15,17,5,28,17,30,19,28,7,9,3,9,0,6,3,0,0,6,0,0,0,0,3,0,0,0,3,0,0,0,5,5,4,0,6,0,7,3,0,0,0,0,0,0,0,31,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4016,16,7,31,24,20,13,25,27,33,16,53,34,61,50,77,26,44,22,29,8,30,12,0,0,5,34,4016
Woodend,0,0,7,3,8,10,3,5,6,6,13,16,15,16,27,18,18,8,14,8,23,19,5,0,0,0,0,0,0,4,3,0,0,11,5,4,6,9,4,15,12,15,8,5,6,5,3,14,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2899,0,3,8,9,14,7,11,5,15,11,28,23,27,30,43,23,22,10,22,9,35,20,8,0,0,25,2899
Bendigo Surrounds - North,4,0,16,5,6,6,16,8,11,4,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,0,14,5,3,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,4,0,15,5,15,13,23,9,26,8,11,5,3,7,9,0,4,0,0,0,3,0,0,0,0,11,1938
Loddon,14,24,56,20,22,22,35,11,16,6,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,10,12,14,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3716,14,29,68,29,35,35,49,10,27,10,12,0,13,0,0,0,0,0,3,0,0,0,0,0,0,33,3716
Bannockburn,0,3,0,0,4,0,4,6,0,0,8,11,13,10,19,12,15,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,11,12,16,8,10,14,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,4,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359,4,3,7,0,4,5,3,6,6,5,23,25,30,13,35,27,27,4,5,5,5,0,0,0,0,21,2359
Golden Plains - South,0,4,5,4,4,6,10,3,11,4,14,6,15,3,6,4,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,4,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952,0,4,5,4,4,3,21,7,11,7,21,9,17,9,8,5,7,9,9,0,10,0,3,0,0,18,2952
Winchelsea,3,0,10,9,10,3,18,9,10,10,19,15,13,15,7,0,10,3,0,0,7,0,0,0,0,0,0,0,0,0,0,4,6,8,9,14,9,14,7,9,3,7,4,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,3,0,5,0,3,5,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,4,0,10,9,14,7,28,20,31,17,39,19,17,13,19,5,14,7,7,0,8,6,0,0,0,20,2407
Belmont,7,6,44,27,39,36,56,35,60,46,137,102,203,150,152,63,67,41,15,5,24,0,3,0,4,0,0,3,0,9,3,21,21,40,39,53,44,88,77,106,46,61,23,25,9,14,0,17,4,5,0,7,0,0,0,0,3,7,4,3,3,6,8,0,3,9,10,8,11,3,14,5,8,0,3,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,4,0,0,0,0,0,6,0,0,0,10,4722,12,7,60,39,62,60,95,79,121,93,231,186,322,207,222,85,98,48,34,5,45,12,11,0,12,75,4722
Geelong,11,8,102,12,43,23,44,28,63,69,187,121,153,99,116,64,90,37,54,16,52,25,7,5,0,0,0,0,7,10,13,20,34,49,32,45,66,96,49,80,45,45,15,33,14,22,4,17,13,3,0,4,0,0,0,0,11,6,3,5,3,0,3,4,5,3,5,8,9,0,6,3,0,0,10,0,0,0,0,78,0,5,0,0,0,0,0,3,0,0,0,4,0,3,0,6,0,3,0,0,0,6,0,0,0,3,20,4640,16,16,122,34,73,63,97,67,114,141,296,174,243,151,172,83,137,57,84,20,82,45,13,7,10,96,4640
Geelong West - Hamlyn Heights,18,18,55,32,40,31,101,91,140,99,195,143,208,155,175,77,111,52,53,22,71,24,5,0,3,0,0,6,5,5,4,32,59,117,76,66,68,108,75,113,47,51,24,37,17,18,8,13,5,6,0,4,0,0,0,3,3,3,3,3,7,6,9,3,14,8,14,3,15,8,7,5,9,0,9,0,0,0,0,62,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,6789,20,24,63,34,79,88,226,173,209,175,318,221,337,208,251,112,156,74,85,33,97,27,14,3,11,64,6789
Highton,3,8,21,11,32,20,22,20,37,34,87,65,94,80,89,68,73,54,50,11,72,34,5,5,0,0,0,0,6,0,4,17,41,25,17,41,35,47,45,62,35,38,13,24,12,8,3,19,6,0,0,3,0,0,0,0,0,3,0,3,3,3,0,6,5,3,7,4,8,4,5,3,8,3,17,7,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7403,3,12,22,14,47,68,48,44,81,77,136,116,167,117,133,85,100,72,67,20,103,49,13,3,11,57,7403
Lara,3,3,14,5,28,21,13,13,30,36,90,66,112,104,92,51,100,35,30,3,20,12,3,0,0,0,0,0,0,0,0,15,22,8,16,23,23,45,30,62,40,32,17,21,11,9,0,6,14,6,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,0,10,3,7,0,3,4,6,0,0,0,0,0,0,43,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081,4,3,14,14,46,46,25,27,54,62,137,100,189,147,135,71,134,49,48,3,30,28,6,3,5,41,6081
Leopold,5,0,10,3,3,4,19,6,12,19,39,38,75,88,87,51,28,13,8,3,5,0,0,0,0,0,0,0,0,0,4,11,9,14,10,15,14,25,29,62,48,46,17,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,5,11,0,4,4,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4488,8,3,13,7,14,15,31,13,27,42,63,74,138,140,152,71,48,18,13,3,10,0,0,0,0,24,4488
Newcomb - Moolap,14,14,76,48,40,33,63,52,73,74,184,99,151,77,40,12,10,5,6,0,0,6,3,0,0,0,0,0,8,4,11,20,55,70,45,74,75,130,90,104,42,31,16,8,10,5,0,3,5,0,0,0,0,0,0,0,8,4,6,7,6,8,12,5,16,10,21,8,5,3,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5076,12,25,90,62,66,97,135,112,159,154,331,203,278,128,75,36,17,16,8,0,11,3,3,0,5,94,5076
Newtown (Vic.),8,3,28,15,10,6,31,19,31,29,82,48,62,48,64,22,52,27,30,20,51,33,16,3,0,0,0,5,0,3,3,17,17,31,12,28,14,29,27,40,18,22,6,9,11,4,3,15,5,0,3,5,0,0,0,0,6,0,3,0,0,6,0,0,5,5,6,4,11,0,7,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3332,10,6,39,20,31,22,65,35,57,52,116,77,105,75,97,34,72,40,44,19,70,40,22,8,9,35,3332
North Geelong - Bell Park,15,12,42,25,40,18,52,25,51,43,132,114,197,99,111,37,42,10,20,3,24,3,0,0,0,0,0,4,0,10,9,14,29,38,27,30,56,87,65,93,39,31,13,17,7,5,0,8,3,0,4,9,0,0,0,0,0,0,0,3,0,0,0,3,3,10,15,8,12,5,5,0,6,0,4,0,0,4,0,72,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5134,20,14,54,36,48,54,84,53,87,105,228,190,313,145,157,60,56,21,26,3,33,8,0,6,11,79,5134
Charlemont,5,0,7,4,6,5,4,0,9,0,11,10,31,76,216,121,111,24,21,8,10,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,13,6,21,30,85,41,25,4,9,0,5,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,24,12,11,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3021,3,0,5,4,9,4,7,4,9,6,20,16,50,110,332,175,151,34,30,5,21,4,4,0,5,34,3021
Corio - Lovely Banks,31,15,105,43,45,43,62,54,198,170,253,105,114,37,35,11,8,4,8,0,5,4,0,0,0,0,0,4,7,19,15,20,31,56,55,114,109,143,52,57,15,25,0,9,4,7,0,3,4,0,0,3,0,0,0,5,7,4,6,8,12,4,24,16,24,12,0,5,0,0,0,3,0,0,0,0,0,0,0,104,0,6,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4958,42,26,140,65,72,80,131,118,336,295,416,174,179,52,60,9,15,13,12,0,10,6,0,0,8,112,4958
Grovedale - Mount Duneed,8,6,56,29,35,17,36,20,31,32,83,100,128,127,199,138,166,72,60,13,41,5,0,6,0,0,0,0,5,14,6,6,15,22,12,26,29,62,54,85,54,98,44,56,19,14,4,10,10,0,4,7,0,0,0,4,6,0,9,0,4,0,0,0,3,9,4,10,21,10,12,3,8,3,9,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,7619,13,16,72,37,50,35,56,29,58,66,152,163,219,191,315,191,230,93,86,21,55,18,3,10,10,68,7619
Norlane,37,27,159,69,48,29,60,81,166,117,141,63,65,31,18,0,0,4,0,0,0,0,0,0,0,0,0,12,18,28,36,40,32,57,64,116,90,68,31,34,11,10,3,4,0,0,4,4,0,0,0,0,0,0,4,9,15,8,10,10,9,9,28,10,14,6,10,0,4,0,3,0,0,0,0,4,0,0,0,87,0,0,6,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2501,51,50,210,112,94,69,123,150,313,224,219,99,110,37,32,3,6,4,3,7,5,4,3,0,0,92,2501
Clifton Springs,5,4,10,8,10,10,18,7,23,17,67,57,82,123,158,55,24,12,0,4,18,0,3,0,0,0,0,0,0,0,0,0,5,12,6,25,33,63,48,81,69,113,31,18,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,4,6,17,7,3,0,0,0,4,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6031,7,4,10,8,10,18,32,15,52,51,140,109,172,195,282,89,47,21,10,6,16,4,7,0,8,30,6031
Lorne - Anglesea,0,0,6,11,6,5,15,3,10,4,16,3,19,12,25,6,20,9,14,4,29,9,0,3,0,0,0,0,0,6,8,4,5,6,0,6,3,7,9,7,9,22,5,3,8,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,4,0,0,11,13,6303,7,0,15,16,13,13,23,8,14,8,30,14,28,16,50,12,29,19,24,9,49,10,0,3,11,35,6303
Portarlington,5,8,7,3,8,4,12,6,33,33,48,30,52,57,55,19,20,3,7,0,4,0,0,0,0,0,0,0,0,0,0,6,4,12,15,31,46,61,41,58,32,39,4,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,3,7,10,3,3,0,6,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6652,5,11,9,3,17,10,23,24,67,80,112,79,119,95,99,27,35,7,6,0,3,0,0,0,7,28,6652
Point Lonsdale - Queenscliff,5,0,3,5,4,3,6,0,9,0,21,9,13,12,21,9,21,10,13,5,12,3,0,0,0,0,0,0,0,0,0,4,6,0,0,5,6,10,12,3,9,12,7,8,8,7,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,3883,0,0,5,5,10,13,10,0,15,7,27,18,23,27,35,20,29,22,21,8,17,11,6,0,4,23,3883
Torquay,10,0,13,12,19,3,9,9,13,6,28,12,37,28,58,35,94,69,159,43,268,71,31,9,8,0,0,0,0,0,3,0,0,14,7,13,7,19,11,25,16,29,16,50,38,41,29,89,28,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,3,13,6,12,8,29,7,4,0,5,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,7,0,0,4,6,10,9382,5,3,13,16,27,4,30,14,27,18,46,30,72,50,97,61,162,113,217,83,388,111,49,11,17,66,9382
Barwon Heads - Armstrong Creek,0,3,13,6,3,0,9,0,7,5,14,10,16,73,185,114,95,32,32,10,21,16,11,6,0,0,0,0,0,4,0,3,3,4,0,6,0,9,4,16,44,77,30,21,13,13,0,4,5,0,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0,0,6,3,10,9,5,0,0,0,0,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,3899,0,4,22,12,12,3,19,7,13,3,22,13,28,120,267,152,125,42,44,12,27,33,15,11,10,27,3899
Ocean Grove,3,0,15,9,11,6,20,9,19,9,27,24,62,39,81,44,97,48,75,28,65,15,3,0,3,0,0,0,0,3,0,3,9,11,7,23,21,48,13,44,32,51,20,40,17,26,4,23,4,3,0,12,0,0,0,0,4,0,6,0,3,3,0,5,3,6,9,3,0,4,10,6,5,5,6,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,7981,3,7,22,11,17,9,36,17,38,37,78,48,117,77,136,63,152,72,110,35,98,25,11,3,15,41,7981
Alexandra,10,5,23,10,16,11,38,12,33,28,44,14,14,12,11,4,5,0,0,0,0,0,0,0,0,0,0,3,0,3,8,9,14,27,25,26,14,19,5,15,3,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,8,6,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3780,12,6,29,10,26,29,76,40,64,40,61,21,32,19,16,6,3,0,0,0,0,0,0,0,3,29,3780
Euroa,21,3,25,13,25,18,18,18,35,9,38,7,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,11,16,11,24,26,18,5,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,3,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3186,21,3,28,18,37,33,38,33,68,38,64,11,32,6,8,4,0,0,4,0,0,0,6,0,0,38,3186
Kilmore - Broadford,6,3,33,6,16,3,19,18,54,39,76,64,106,58,52,6,17,0,10,0,3,3,0,0,0,0,0,0,3,4,5,9,4,7,8,30,42,64,25,58,14,21,5,10,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,3,7,0,7,12,3,9,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5442,4,9,38,15,18,14,29,33,93,85,142,94,177,82,83,10,29,0,13,0,7,0,3,0,3,48,5442
Mansfield (Vic.),11,6,32,6,20,15,20,11,25,7,41,26,49,26,37,8,21,7,8,0,0,0,0,0,0,0,0,0,0,9,0,3,5,10,7,16,12,19,17,24,16,9,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,3,4,3,0,4,4,0,3,4,5,0,0,0,0,0,0,0,0,0,40,0,0,0,4,0,9,0,7,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,26,6287,9,8,47,11,29,28,38,22,51,24,63,38,78,46,54,7,24,7,8,0,3,5,0,0,22,63,6287
Nagambie,6,4,13,13,7,8,15,8,24,9,21,9,18,9,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,17,4,15,7,14,3,20,4,3,0,3,5,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2137,10,7,17,10,7,10,32,12,38,23,40,17,38,10,17,0,13,3,0,0,6,0,0,0,4,36,2137
Seymour,14,10,55,25,25,29,61,29,70,30,60,28,36,15,7,4,3,0,0,0,6,0,0,0,0,0,0,0,8,3,22,16,26,41,25,49,19,28,5,21,0,7,0,0,4,0,0,4,0,0,0,3,0,0,3,0,7,0,3,6,9,0,9,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,0,0,0,2269,15,20,60,53,41,56,104,50,125,56,97,34,57,18,19,7,9,5,6,0,6,0,3,0,3,47,2269
Seymour Surrounds,4,4,6,0,5,0,9,3,113,21,35,17,21,7,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1612,4,4,7,0,5,3,12,3,131,28,40,22,26,6,4,0,0,0,0,0,3,0,0,0,0,26,1612
Upper Yarra Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
